id_original,id_souldata,nombre_tripadvisor,nombre_souldata,link,score,n_reviews,description,categoria,subcategoría,departamento,ciudad,entra_analisis,entra_global,lat,long,geo_manual
0,1,Perito Moreno Glacier,Glaciar Perito Moreno,/Attraction_Review-g488166-d6438572-Reviews-Perito_Moreno_Glacier-Los_Glaciares_National_Park_Province_of_Santa_Cruz_Patagoni.html,5.0,12644,Geologic Formations,Áreas naturales,Glaciares,Lago Argentino,El Calafate,1.0,1.0,-50.505009,-73.166031,0
1,2,Cerro Fitz Roy,Cerro Fitz Roy,/Attraction_Review-g316035-d552855-Reviews-Cerro_Fitz_Roy-El_Chalten_Province_of_Santa_Cruz_Patagonia.html,5.0,2903,Mountains,Áreas naturales,Cerros,Lago Argentino,El Chaltén,1.0,1.0,-49.30743,-72.914993,0
2,3,Laguna Torre,Laguna Torre,/Attraction_Review-g316035-d2510209-Reviews-Laguna_Torre-El_Chalten_Province_of_Santa_Cruz_Patagonia.html,5.0,1540,Bodies of Water â€¢ Historic Walking Areas,Áreas naturales,Senderos,Lago Argentino,El Chaltén,1.0,1.0,-49.3325,-72.927223,0
3,4,Laguna de los Tres,Laguna de los Tres,/Attraction_Review-g488166-d2524250-Reviews-Laguna_de_los_Tres-Los_Glaciares_National_Park_Province_of_Santa_Cruz_Patagonia.html,5.0,597,Hiking Trails,Áreas naturales,Senderos,Lago Argentino,El Chaltén,1.0,1.0,-49.280548,-72.984093,0
4,5,Cabo VÃ­rgenes,Cabo Vírgenes,/Attraction_Review-g312852-d7092461-Reviews-Cabo_Virgenes-Rio_Gallegos_Province_of_Santa_Cruz_Patagonia.html,4.5,110,Points of Interest & Landmarks â€¢ Nature & Wildlife Areas,Áreas naturales,Avistaje de fauna,Güer Aike,Río Gallegos,1.0,1.0,-52.3274994,-68.3516667,1
5,6,Lago Argentino,Lago Argentino,/Attraction_Review-g312851-d313897-Reviews-Lago_Argentino-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,4.5,4125,Bodies of Water,Áreas naturales,"Lagos, lagunas y ríos",Lago Argentino,El Calafate,1.0,1.0,-50.336784,-72.266876,0
6,7,Glaciar Spegazzini,Glaciar Spegazzini,/Attraction_Review-g488166-d10136803-Reviews-Glaciar_Spegazzini-Los_Glaciares_National_Park_Province_of_Santa_Cruz_Patagonia.html,5.0,98,Geologic Formations,Áreas naturales,Glaciares,Lago Argentino,El Calafate,1.0,1.0,-50.2505733,-73.3818206,1
7,8,Rios de Hielo,Ríos de Hielo,/Attraction_Review-g312851-d9834872-Reviews-Rios_de_Hielo-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,4.5,1172,Bodies of Water,Prestadores turísticos,Excursiones y aventura,Lago Argentino,El Calafate,1.0,1.0,-50.040413,-73.266754,0
8,9,Upsala Glacier,Glaciar Upsala,/Attraction_Review-g312851-d313743-Reviews-Upsala_Glacier-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,4.5,3458,Geologic Formations,Áreas naturales,Glaciares,Lago Argentino,El Calafate,1.0,1.0,-49.886944,-73.2725,1
9,10,Pasarelas Perito Moreno,Pasarelas Perito Moreno,/Attraction_Review-g312851-d11663802-Reviews-Pasarelas_Perito_Moreno-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,5.0,2384,Geologic Formations,Áreas naturales,Glaciares,Lago Argentino,El Calafate,1.0,1.0,-50.468994,-73.03302,0
